Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_Formal,Notes,_HSK,_Dao,ID
喜气,xǐqì,noun: festive happiness; joyful atmosphere,新房里充满了喜气。,"The new home was filled with a festive, joyful atmosphere.",Literary,Common in 喜气洋洋 and festive/wedding contexts.,Unknown,7.2,
新楼,xīnlóu,noun: new building,公司下个月搬进新楼。,The company will move into the new building next month.,Everyday,Usually a newly built or newly occupied multistorey building.,Unknown,7.2,
选购,xuǎngòu,verb: to select and purchase,顾客正在选购新衣服。,Customers are selecting and buying new clothes.,Neutral Formal,"Common in retail, advertising, and shopping advice.",Unknown,7.2,
夜深,yèshēn,verb phrase: for the night to grow late,夜深了，街上的人越来越少。,"It grew late at night, and there were fewer and fewer people on the streets.",Literary,Common in 夜深人静.,Unknown,7.2,
一端,yīduān,noun: one end; one side,绳子的一端绑在柱子上。,One end of the rope is tied to the pillar.,Neutral Formal,Usually paired with 另一端.,Unknown,7.2,
游园,yóuyuán,verb: to tour a garden/park,春节期间，大家一起游园赏花。,"During Lunar New Year, everyone toured the park and admired the flowers.",Neutral Formal,Common in organized 游园会 “garden fairs.”,Unknown,7.2,
有理,yǒulǐ,adjective: reasonable; justified; in the right,这件事他说得有理。,What he said about this matter is reasonable.,Everyday,Opposite of 无理.,Unknown,7.2,
有利于,yǒulìyú,verb phrase: to be beneficial to; to be conducive to,每天运动有利于身体健康。,Daily exercise is beneficial to physical health.,Neutral Formal,Common in explanatory and formal writing.,Band5,7.21,
院墙,yuànqiáng,noun: courtyard wall; compound wall,院墙外种着几棵大树。,Several large trees are planted outside the courtyard wall.,Everyday,"A wall enclosing a house, courtyard, school, or compound.",Unknown,7.21,
展厅,zhǎntīng,noun: exhibition hall; showroom,新产品正在展厅里展出。,The new products are being displayed in the exhibition hall.,Everyday,"A room used to display art, products, models, or information.",Unknown,7.21,
走近,zǒujìn,verb: to approach; to walk closer,他慢慢走近那座木屋。,He slowly approached the wooden house.,Everyday,Indicates decreasing physical distance by walking.,Band7,7.21,
竹筷,zhúkuài,noun: bamboo chopsticks,这家餐厅使用可重复使用的竹筷。,This restaurant uses reusable bamboo chopsticks.,Everyday,Chopsticks made from bamboo.,Unknown,7.21,
赏花,shǎnghuā,verb: to admire flowers; to view blossoms,春天很多游客来公园赏花。,Many tourists visit the park in spring to admire the flowers.,Everyday,Usually a leisure activity during flowering seasons.,Unknown,7.21,
笔盒,bǐhé,noun: pencil case; pen case,他把铅笔和橡皮放进笔盒。,He put the pencil and eraser into the pencil case.,Everyday,Common in Singapore/Malaysia; 铅笔盒 or 文具盒 is common in Mainland Chinese.,Unknown,7.21,
碰碰船,pèngpengchuán,noun: bumper boat,孩子们在游乐园玩碰碰船。,The children played on bumper boats at the amusement park.,Everyday,A recreational boat designed to bump into other boats.,Unknown,7.21,
满山,mǎnshān,adverb: all over the mountain,春天，满山都是盛开的野花。,"In spring, blooming wildflowers cover the entire mountain.",Literary,Usually followed by 都是 or 满山遍野.,Unknown,7.21,
发青,fāqīng,verb: to turn green/blue; to look pale,天气太冷，他的嘴唇都发青了。,The weather was so cold that his lips turned blue.,Everyday,"Can describe bruising, cold skin, unripe plants, or colour change.",Unknown,7.21,
打烂,dǎlàn,verb: to smash; to break badly,孩子不小心把碗打烂了。,The child accidentally smashed the bowl.,Everyday,Common in Singapore/Malaysia and southern varieties; 打碎 is more standard in Mainland Chinese.,Unknown,7.21,
两截,liǎngjié,noun: two sections; two broken pieces,绳子被剪成了两截。,The rope was cut into two sections.,Everyday,截 is used for separated sections of a longer object.,Unknown,7.21,
花衣,huāyī,noun: patterned or colourful clothing,小女孩穿着一件漂亮的花衣。,The little girl was wearing beautiful patterned clothing.,Literary,"Usually describes traditional, colourful, or floral-patterned clothing.",Unknown,7.21,
换药,huànyào,verb: to change a wound dressing/medicine,护士每天给伤员换药。,The nurse changes the injured person’s dressing every day.,Everyday,Usually medical care involving cleaning a wound and applying fresh medicine/dressing.,Unknown,7.21,
举头,jǔtóu,verb: to raise one’s head,他举头望向夜空中的明月。,He raised his head and looked at the bright moon in the night sky.,Literary,Famous from 李白’s poem 静夜思; everyday speech uses 抬头.,Unknown,7.21,
戏场,xìchǎng,noun: theatre; performance ground,村民们聚集在戏场看表演。,The villagers gathered at the performance ground to watch the show.,Literary,Relatively uncommon; 戏院 or 剧场 is more common.,Unknown,7.21,
说不清,shuōbuqīng,verb phrase: to be unable to explain clearly,这件事太复杂，我一时说不清。,This matter is too complicated for me to explain clearly right now.,Everyday,"Can mean lacking information, clarity, or words.",Unknown,7.21,
总比,zǒngbǐ,fixed expression: is always better than,早点开始总比最后赶工好。,Starting early is always better than rushing at the end.,Everyday,Usually appears in A 总比 B 好.,Unknown,7.21,
之处,zhīchù,noun: aspect; point; place,这个计划还有需要改进之处。,This plan still has aspects that need improvement.,Neutral Formal,Formal written equivalent of 的地方.,Unknown,7.21,
铃响,língxiǎng,verb phrase: for a bell to ring,下课铃响后，学生们走出教室。,"After the class bell rang, the students left the classroom.",Everyday,A subject-predicate phrase rather than one standalone word.,Unknown,7.21,
兽骨,shòugǔ,noun: animal bone,考古人员发现了古代兽骨。,Archaeologists discovered ancient animal bones.,Technical,"Common in archaeology, hunting, and historical/fantasy contexts.",Unknown,7.21,
双翅,shuāngchì,noun: two wings; pair of wings,海鸟展开双翅飞向天空。,The seabird spread its wings and flew into the sky.,Literary,翅 is a literary shortened form related to 翅膀.,Unknown,7.21,
运货,yùnhuò,verb: to transport goods; to carry cargo,这辆卡车每天负责运货。,This lorry transports goods every day.,Everyday,Common in logistics and delivery work.,Unknown,7.21,
以示,yǐshì,conjunction: in order to show; as a sign of,大家鼓掌以示欢迎。,Everyone applauded to show their welcome.,Neutral Formal,"Usually followed by an attitude or purpose: 以示感谢, 以示尊重.",Unknown,7.21,
偷钱,tōuqián,verb: to steal money,他因偷钱被警察逮捕。,He was arrested by the police for stealing money.,Everyday,A direct phrase describing theft of money.,Unknown,7.21,
面朝,miàncháo,verb: to face toward,房子的窗户面朝大海。,The house’s windows face the sea.,Neutral Formal,"Usually followed by a direction, place, or object.",Unknown,7.21,
街边,jiēbiān,noun: roadside; side of the street,街边有几个卖水果的小摊。,There are several fruit stalls by the street.,Everyday,A location along the side of a street.,Unknown,7.21,
养马,yǎngmǎ,verb: to raise/keep horses,这个农场养马，也养奶牛。,This farm raises horses as well as dairy cows.,Everyday,"Can be for farming, racing, riding, or breeding.",Unknown,7.21,
喷湿,pēnshī,verb: to spray until wet,园丁用水把泥土喷湿。,The gardener sprayed the soil until it was wet.,Everyday,喷 indicates spraying; 湿 describes the resulting condition.,Unknown,7.21,
花狗,huāgǒu,noun: spotted dog; multicoloured dog,门口趴着一只黑白相间的花狗。,A black-and-white spotted dog was lying at the entrance.,Everyday,花 describes fur with mixed colours or spots.,Unknown,7.21,
鸟叫,niǎojiào,"noun: bird call; birdsong
verb: for a bird to call",清晨传来悦耳的鸟叫；树上的鸟不停地叫。,Pleasant birdsong came in the early morning; the bird in the tree kept calling.,Everyday,"As a noun, it means sounds made by birds; 鸟鸣 is more literary.",Unknown,7.21,
腿短,tuǐduǎn,adjective: short-legged; having short legs,这只小狗腿短，却跑得很快。,This little dog has short legs but runs very quickly.,Everyday,Usually a descriptive phrase rather than a fixed word.,Unknown,7.21,
水雾,shuǐwù,noun: water mist; spray,瀑布周围弥漫着水雾。,Water mist filled the air around the waterfall.,Neutral Formal,Fine droplets of water suspended in the air.,Unknown,7.21,
喝粥,hēzhōu,verb phrase: to eat/drink congee,他生病时只想喝粥。,"When he is ill, he only wants to eat congee.",Everyday,Chinese uses 喝 for thin porridge/congee.,Unknown,7.21,
涂药,túyào,verb: to apply medicine,请先清洗伤口，再涂药。,Please clean the wound before applying medicine.,Everyday,Usually medicine applied externally to skin or wounds.,Unknown,7.21,
手握,shǒuwò,verb: to hold in one’s hand; to grasp,勇士手握宝剑走进城堡。,The warrior entered the castle holding a sword.,Literary,More descriptive than 拿着.,Unknown,7.21,
树洞,shùdòng,noun: hollow in a tree; tree hole,松鼠把食物藏在树洞里。,The squirrel hid food in the tree hollow.,Everyday,"Online, 树洞 can figuratively mean a place to share secrets anonymously.",Unknown,7.21,
似火,sìhuǒ,adjective: like fire; fiery,骄阳似火，大家都躲到树下。,"The sun was blazing like fire, so everyone sheltered under the trees.",Literary,Usually used in comparisons such as 骄阳似火.,Unknown,7.21,
无忧,wúyōu,adjective: carefree; free from worry,孩子们过着快乐无忧的生活。,"The children live a happy, carefree life.",Literary,Common in 无忧无虑.,Unknown,7.21,
碎冰,suìbīng,noun: crushed ice; broken ice,请在果汁里加一些碎冰。,Please add some crushed ice to the juice.,Everyday,Small pieces of ice.,Unknown,7.21,
木盒,mùhé,noun: wooden box,宝石被收藏在一个木盒里。,The gemstone is kept in a wooden box.,Everyday,A box made of wood.,Unknown,7.21,
鞋厂,xiéchǎng,noun: shoe factory,这家鞋厂每天生产几百双鞋。,This shoe factory produces hundreds of pairs of shoes daily.,Everyday,A factory manufacturing footwear.,Unknown,7.21,
泪流,lèiliú,verb: for tears to flow,听到这个消息，她泪流满面。,"Hearing the news, tears streamed down her face.",Literary,Usually appears in 泪流满面.,Unknown,7.21,
抬手,táishǒu,verb: to raise one’s hand,他抬手擦去了额头上的汗。,He raised his hand and wiped the sweat from his forehead.,Everyday,Can also mean showing mercy in 高抬贵手.,Unknown,7.21,
